epoch,accuracy,loss,val_accuracy,val_loss
0,0.5798146724700928,0.896710991859436,0.5815218091011047,0.8117185831069946
1,0.6804375052452087,0.7392377853393555,0.7315325140953064,0.6647369861602783
2,0.7455997467041016,0.637539267539978,0.7609109282493591,0.5972921252250671
3,0.765981912612915,0.5953943729400635,0.7828405499458313,0.5458922982215881
4,0.7961037158966064,0.5273760557174683,0.8111906051635742,0.4929795563220978
5,0.8120207786560059,0.4892151355743408,0.8124164342880249,0.4879613220691681
6,0.8279166221618652,0.45410993695259094,0.8340280055999756,0.4303698241710663
7,0.8367243409156799,0.42682093381881714,0.8426071405410767,0.40540698170661926
8,0.847250759601593,0.4036286175251007,0.8560109734535217,0.38838398456573486
9,0.8542205691337585,0.385868102312088,0.844160795211792,0.39600926637649536
10,0.8579593300819397,0.37317484617233276,0.8545732498168945,0.3831981420516968
11,0.8614231944084167,0.36708298325538635,0.8598698973655701,0.3668217360973358
12,0.8676199316978455,0.3477656841278076,0.867335319519043,0.35095053911209106
13,0.8648653030395508,0.35836535692214966,0.8713392615318298,0.34450259804725647
14,0.8774855136871338,0.32252874970436096,0.8727800250053406,0.334795206785202
15,0.8803224563598633,0.3169788718223572,0.8725782632827759,0.3408815860748291
16,0.8837593793869019,0.30320656299591064,0.8697977662086487,0.3477134704589844
17,0.8862938284873962,0.29990437626838684,0.8750011920928955,0.34019583463668823
18,0.8862050175666809,0.29856500029563904,0.8774242401123047,0.33389315009117126
19,0.8902382254600525,0.28743788599967957,0.8777925372123718,0.3313194513320923
20,0.8946122527122498,0.27408647537231445,0.8793602585792542,0.3403818905353546
21,0.8971443772315979,0.2696099579334259,0.8790447115898132,0.3501232862472534
22,0.8981693387031555,0.2645869553089142,0.8805078268051147,0.33481788635253906
23,0.9012211561203003,0.2573831081390381,0.875393271446228,0.3626407980918884
24,0.904985249042511,0.246842160820961,0.8845639824867249,0.3325238525867462
25,0.9028059840202332,0.2524617910385132,0.8758836388587952,0.37322303652763367
26,0.9063441753387451,0.2428729087114334,0.8773946166038513,0.3522382080554962
27,0.9079604148864746,0.23776108026504517,0.8801694512367249,0.3288727104663849
28,0.9091923832893372,0.23455029726028442,0.8830181360244751,0.3477683663368225
29,0.9095485806465149,0.23449817299842834,0.8813551068305969,0.33944305777549744
30,0.9099435210227966,0.23181778192520142,0.8864044547080994,0.32015660405158997
31,0.9156630635261536,0.2150307148694992,0.8832648992538452,0.35502859950065613
